file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00029_04319.800-04321.200,མཉམ་མེད་དྭགས་པོ་ལྷ་རྗེ་ནས།  ,mnyam med dwags po lha rje nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00029_04319.800-04321.200.wav,STT_TT,3,28,1.3999999999996362,wav16k/STT_TT00029_04319.800-04321.200.wav,མཉམ་མེད་དྭགས་པོ་ལྷ་རྗེ་ནས།
STT_TT00029_04321.500-04322.150,བཀའ་གདམས་ཀི་ ,bka' gdams ki _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00029_04321.500-04322.150.wav,STT_TT,3,13,0.6499999999996362,wav16k/STT_TT00029_04321.500-04322.150.wav,བཀའ་གདམས་ཀི་
STT_TT00029_04322.500-04324.200,ཨེ་ནས་ལམ་རིམ་དེ་གཅིག་བྱས།  ,e nas lam rim de gcig byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00029_04322.500-04324.200.wav,STT_TT,3,27,1.699999999999818,wav16k/STT_TT00029_04322.500-04324.200.wav,ཨེ་ནས། ལམ་རིམ་དེ་གཅིག་བྱས།
STT_TT00029_04324.550-04325.100,ཨེ་ནས་ ,e nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00029_04324.550-04325.100.wav,STT_TT,3,7,0.5500000000001819,wav16k/STT_TT00029_04324.550-04325.100.wav,ཨེ་ནས།
STT_TT00029_04353.350-04354.100,ད་དེ་ག་བར་སླེབས་སོང་།  ,da de ga bar slebs song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00029_04353.350-04354.100.wav,STT_TT,3,23,0.75,wav16k/STT_TT00029_04353.350-04354.100.wav,ད་འདེ་ག་བ་སླེབས་སོང་།
STT_TT00029_04359.350-04361.450,ད་མཚན་ཉིད་མེད་བཅས་སྐྱེ་བ་མེད། ཡོངས་འགྱུར་མ་ཡིན།  ,da mtshan nyid med bcas skye ba med/_yongs 'gyur ma yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00029_04359.350-04361.450.wav,STT_TT,3,49,2.0999999999994543,wav16k/STT_TT00029_04359.350-04361.450.wav,ད་མཚན་ཉིད་མེད་ཅིང་སྐྱེ་བ་མེད། ཡོངས་འགྱུར་མ་ཡིན།
STT_TT00029_04361.850-04363.450,ངག་ལམ་བྲལ། མཁའ་དང་བྱང་ཆུབ་སེམས་ ,ngag lam bral/_mkha' dang byang chub sems _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00029_04361.850-04363.450.wav,STT_TT,3,32,1.5999999999994543,wav16k/STT_TT00029_04361.850-04363.450.wav,ངགས་ལམ་འབྲལ། མཁའ་དང་བྱང་ཆུབས།
STT_TT00029_04364.700-04365.650,ག་པར་སླེབས་སོང་། དེ་རེད་བས།  ,ga par slebs song /_de red bas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00029_04364.700-04365.650.wav,STT_TT,3,29,0.949999999999818,wav16k/STT_TT00029_04364.700-04365.650.wav,ག་བ་སླེབས་སོང་། དེ་རེད་བེ།
STT_TT00029_04366.400-04369.900,རྣམ་རྟོག་མེད་པ་སྟོང་པ་ཡིན། གང་དུ་རྣམ་རྟོག་སྣང་གྱུར་བ། དེ་ནི་སྟོང་ཉིད་ག་ལ་ཡོད།  ,rnam rtog med pa stong pa yin/_gang du rnam rtog snang gyur ba/_de ni stong nyid ga la yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00029_04366.400-04369.900.wav,STT_TT,3,79,3.5,wav16k/STT_TT00029_04366.400-04369.900.wav,རྣམ་རྟོག་མེད་པ་སྟོང་པ་ཡིན། གང་དུ་རྣམ་རྟོག་སྣང་འགྱུར་བ། དེ་ནི་སྟོང་ཉིད་ག་ལ་ཡོད།
STT_TT00029_04370.200-04372.700,རྟོག་བྱ་རྟོག་བྱེད་རྣམ་པའི་སེམས། དེ་བཞིན་གཤེགས་རྣམས་ཀྱིས་མ་གཟིགས།  ,rtog bya rtog byed rnam pa'i sems/_de bzhin gshegs rnams kyis ma gzigs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00029_04370.200-04372.700.wav,STT_TT,3,66,2.5,wav16k/STT_TT00029_04370.200-04372.700.wav,རྟོགས་བྱ་རྟོགས་བྱེད་རྣམ་པའི་སེམས། དེ་བཞིན་གཤེགས་རྣམས་ཀྱིས་མ་ཟུན།
